Módulo,Método,Endpoint,Descrição,Dependências,Status
Chat,POST,/api/chat,Processar mensagem IA,"OPENAI_API_KEY, MONGO_URI",Não configurado
Logs,GET,/api/logs/historico,Histórico de logs,MONGO_URI,Não configurado
Logs,GET,/api/logs/pendentes,Logs pendentes,MONGO_URI,Não configurado
Logs,GET,/api/logs/estatisticas,Estatísticas de uso,MONGO_URI,Não configurado
Logs,GET,/api/logs,Consultar logs MongoDB,MONGO_URI,Não configurado
Logs,GET,/api/analise,Análise de dados,MONGO_URI,Não configurado
Embeddings,POST,/api/treinar,Treinar IA com novos dados,OPENAI_API_KEY,Não configurado
Embeddings,GET,/api/kb,Listar entradas da KB,MONGO_URI,Não configurado
Helpdesk,GET,/api/helpdesk/tickets,Listar tickets,"JITBIT_URL, JITBIT_USER, JITBIT_PASS",Não configurado
Helpdesk,GET,/api/helpdesk/ticket/:id,Detalhe de ticket,JITBIT_*,Não configurado
Helpdesk,POST,/api/helpdesk/classificar/:id,Classificar ticket,"JITBIT_*, OPENAI_API_KEY",Não configurado
Helpdesk,POST,/api/helpdesk/responder/:id,Responder com IA,"JITBIT_*, OPENAI_API_KEY",Não configurado
Helpdesk,POST,/api/helpdesk/processar,Processar pendentes,JITBIT_*,Não configurado
Helpdesk,GET,/api/helpdesk/categorias,Listar categorias,JITBIT_*,Não configurado
Helpdesk,POST,/api/helpdesk/criar,Criar chamado,JITBIT_*,Não configurado
Helpdesk,GET,/api/helpdesk/polling,Status do polling,JITBIT_*,Não configurado
Helpdesk,POST,/api/helpdesk/polling/iniciar,Iniciar polling,JITBIT_*,Não configurado
Helpdesk,POST,/api/helpdesk/polling/pausar,Pausar polling,JITBIT_*,Não configurado
Helpdesk,POST,/api/helpdesk/polling/retomar,Retomar polling,JITBIT_*,Não configurado
Helpdesk,POST,/api/helpdesk/polling/limpar,Limpar fila,JITBIT_*,Não configurado
Helpdesk,GET,/api/helpdesk/fila,Obter fila de revisão,MONGO_URI,Não configurado
Helpdesk,POST,/api/helpdesk/fila/modo,Configurar modo revisão,MONGO_URI,Não configurado
Helpdesk,POST,/api/helpdesk/fila/:id/aprovar,Aprovar item da fila,MONGO_URI,Não configurado
Helpdesk,POST,/api/helpdesk/fila/:id/rejeitar,Rejeitar item da fila,MONGO_URI,Não configurado
Helpdesk,GET,/api/helpdesk/tecnicos,Listar técnicos,JITBIT_*,Não configurado
Helpdesk,GET,/api/helpdesk/planilha-horas,Planilha de horas,JITBIT_*,Não configurado
Helpdesk,GET,/api/helpdesk/sla-compliance,Relatório SLA,JITBIT_*,Não configurado
Helpdesk,GET,/api/helpdesk/sites-overview,Visão geral de sites,"JITBIT_*, MONGO_URI",Não configurado
Helpdesk,GET,/api/helpdesk/mapa-sites,Obter mapa de sites,MONGO_URI,Não configurado
Helpdesk,POST,/api/helpdesk/mapa-sites,Associar site,MONGO_URI,Não configurado
Helpdesk,DELETE,/api/helpdesk/mapa-sites/:categoriaId,Desassociar site,MONGO_URI,Não configurado
Helpdesk,GET,/api/helpdesk/site/:siteId/tickets,Tickets por site,"JITBIT_*, MONGO_URI",Não configurado
AxHub,GET,/api/axhub/status,Status da conexão,AXHUB_DB_*,Não configurado
AxHub,GET,/api/axhub/resumo,Resumo geral,AXHUB_DB_*,Não configurado
AxHub,GET,/api/axhub/equipamentos,Listar equipamentos,AXHUB_DB_*,Não configurado
AxHub,GET,/api/axhub/operacoes,Listar operações,AXHUB_DB_*,Não configurado
AxHub,GET,/api/axhub/infracoes,Estatísticas de infrações,AXHUB_DB_*,Não configurado
AxHub,GET,/api/axhub/heartbeat,Heartbeat dos equipamentos,AXHUB_DB_*,Não configurado
AxHub,GET,/api/axhub/monitoramentos,Listar monitoramentos,AXHUB_DB_*,Não configurado
AxHub,GET,/api/axhub/passagens,Últimas passagens,AXHUB_DB_*,Não configurado
AxHub,GET,/api/axhub/triagens,Estatísticas de triagens,AXHUB_DB_*,Não configurado
AxHub,GET,/api/axhub/tabelas,Listar tabelas do banco,AXHUB_DB_*,Não configurado
AxTon,GET,/api/axton/status,Status da conexão,AXTON_DB_*,Não configurado
AxTon,GET,/api/axton/resumo,Resumo geral,AXTON_DB_*,Não configurado
AxTon,GET,/api/axton/pesagens,Últimas pesagens,AXTON_DB_*,Não configurado
AxTon,GET,/api/axton/infracoes,Últimas infrações,AXTON_DB_*,Não configurado
AxTon,GET,/api/axton/heartbeat,Heartbeat dos equipamentos,AXTON_DB_*,Não configurado
AxTon,GET,/api/axton/tabelas,Listar tabelas do banco,AXTON_DB_*,Não configurado
AxCross,GET,/api/axcross/status,Status da conexão,AXCROSS_DB_*,Não configurado
AxCross,GET,/api/axcross/resumo,Resumo geral,AXCROSS_DB_*,Não configurado
AxCross,GET,/api/axcross/equipamentos,Listar equipamentos,AXCROSS_DB_*,Não configurado
AxCross,GET,/api/axcross/locais,Listar locais,AXCROSS_DB_*,Não configurado
AxCross,GET,/api/axcross/operacoes,Listar operações,AXCROSS_DB_*,Não configurado
AxCross,GET,/api/axcross/passagens,Estatísticas de passagens,AXCROSS_DB_*,Não configurado
AxCross,GET,/api/axcross/heartbeat,Heartbeat dos equipamentos,AXCROSS_DB_*,Não configurado
AxCross,GET,/api/axcross/tabelas,Listar tabelas do banco,AXCROSS_DB_*,Não configurado
Medição,GET,/api/medicao/sistemas,Listar sistemas de medição,AXHUB_DB_*,Mock data
Medição,GET,/api/medicao/equipamentos,Listar equipamentos,AXHUB_DB_*,Mock data
Medição,GET,/api/medicao/diagnostico,Gerar diagnóstico inteligente,"AXHUB_DB_*, OPENAI_API_KEY",Mock data
Medição,GET,/api/medicao/analise-sistema,Analisar sistema específico,"AXHUB_DB_*, OPENAI_API_KEY",Mock data
Relatórios,GET,/api/relatorio/passagens,Relatório de passagens,AXHUB_DB_*,Funcional
Relatórios,GET,/api/relatorio/imagens,Relatório de imagens,AXHUB_DB_*,Funcional
Relatórios,GET,/api/relatorio/equipamentos,Listar equipamentos para relatório,AXHUB_DB_*,Funcional
Relatório Contrato,GET,/api/relatorio-contrato/contratos,Listar contratos,Nenhuma,Funcional
Relatório Contrato,GET,/api/relatorio-contrato/tipos,Listar tipos de relatório,Nenhuma,Funcional
Relatório Contrato,POST,/api/relatorio-contrato/gerar,Gerar relatório,"OPENAI_API_KEY, MONGO_URI",Não configurado
Relatório Contrato,GET,/api/relatorio-contrato,Listar relatórios,MONGO_URI,Não configurado
Relatório Contrato,GET,/api/relatorio-contrato/:id,Obter relatório,MONGO_URI,Não configurado
Relatório Contrato,DELETE,/api/relatorio-contrato/:id,Remover relatório,MONGO_URI,Não configurado
Config,GET,/api/config,Obter configuração,MONGO_URI,Não configurado
Config,POST,/api/config,Salvar configuração,MONGO_URI,Não configurado
Config,POST,/api/config/testar-mongo,Testar conexão MongoDB,MONGO_URI,Não configurado
Coletor,GET,/api/coletor/operacoes,Operações do coletor,MONGO_URI,Não configurado
Coletor,GET,/api/coletor/pncp,Buscar no PNCP,OPENAI_API_KEY,Não configurado
Coletor,POST,/api/coletor/pncp/importar,Importar editais,"OPENAI_API_KEY, MONGO_URI",Não configurado
Coletor,POST,/api/coletor/pncp/coletar,Coletar produto,"OPENAI_API_KEY, MONGO_URI",Não configurado
Coletor,GET,/api/coletor/config,Obter configuração,MONGO_URI,Não configurado
Coletor,POST,/api/coletor/config,Salvar configuração,MONGO_URI,Não configurado
Coletor,GET,/api/coletor/status,Status do coletor,MONGO_URI,Não configurado
Fontes,POST,/api/fontes,Adicionar fonte,MONGO_URI,Não configurado
Fontes,GET,/api/fontes,Listar fontes,MONGO_URI,Não configurado
Fontes,GET,/api/fontes/mapa/:produto,Mapa de cobertura,MONGO_URI,Não configurado
Fontes,GET,/api/fontes/sugestoes/:produto,Sugestões por produto,"MONGO_URI, OPENAI_API_KEY",Não configurado
