"DEMANDA DE PEÇAS EQUIPAMENTOS OCR CONTRATO IMETRO/PA GABRIEL LABOR  TICKET #98764397 (PA018C, PA021C, PA022C, PA025C E PA027C)",,,,,,,,,
ITEM,DESCRIÇÃO,QTD,UND,MARCA,EQP.,QTD. ESTOQUE,STATUS ESTOQUE,OBSERVAÇÃO,
BATERIA,ESTACIONÁRIA DF2000 115A,5,UN,FREEDOM,OCR,6,ATENDE,,
CPU,PC MODELO ANTIGO/MINI PC,5,UN,COMPUSONIC,OCR,11,ATENDE,,
CONTROLADOR SOLAR,CM3024Z PWM 30A LCD 12/24V,5,UN,-,OCR,11,ATENDE,,
MODEM 4G,ROTEADOR AMPLIMAX 4G ANT PENTABAND ,4,UN,ELSYS,OCR,6,ATENDE,,
ROTEADOR,W5-1200G  WIFI DUAL BAND 4 ANTENAS,4,UN,INTELBRAS,OCR,8,ATENDE,,
REGULADOR DE TENSÃO,STEPDOWN DC/DC 1.5V A 35V 300W 20A ,5,UN,-,OCR,33,ATENDE,,
PAINEL SOLAR,FOTOVOLTÁICO 160W + CONECTOR MC4,2,UN,-,OCR,0,SEM ESTOQUE,NECESSÁRIO COMPRAR,
EQUIPAMENTO OCR,AXION OCR MONTADO COMPLETO,1,UN,AXION,OCR,8,FALTA PAINEIS,DEPENDENDO DA COMPRA DOS PAINEIS SOLARES,
CABO DE REDE EXTERNO,TRAVESSIA FAIXA 2 PA021C,30,MT,-,OCR,0,Labor FORNECE,FORNECIDO PELA LABOR ENGENHARIA,
"CABO BIPOLAR DE 2.5MM""",TRAVESSIA FAIXA 2 PA021C,30,MT,-,OCR,0,Labor FORNECE,FORNECIDO PELA LABOR ENGENHARIA,
POSTE COLAPSÍVEL,POSTE COLAPSÍVEL OCR,2,UN,-,OCR,0,Labor FORNECE,FORNECIDO PELA LABOR ENGENHARIA,
,,,,,,,,,
DEMANDA CONTRATO ECONOMIA PEDIDO VIA WHATSAPP EVELINE,,,,,,,,,
ITEM,DESCRIÇÃO,QTD,UND,MARCA,EQP.,QTD. ESTOQUE,STATUS ESTOQUE,OBSERVAÇÃO,
REGULADOR DE TENSÃO,STEPDOWN DC/DC 1.5V A 35V 300W 20A ,10,UN,-,OCR,27,ATENDE,MODELO NOVO MELHOR,
,,,,,,,,,
DEMANDA CONTRATO STRANS-THE PEDIDO VIA TICKET #99107561 HAVINER CAVALCANTE,,,,,,,,,
ITEM,DESCRIÇÃO,QTD,UND,MARCA,EQP.,QTD. ESTOQUE,STATUS ESTOQUE,OBSERVAÇÃO,
CPU,PC MODELO ANTIGO/MINI PC,2,UN,COMPUSONIC,OCR,6,ATENDE,,
CAMERA,ZN-NC-G3200WS-PF,4,UN,AXION,OCR,62,ATENDE,,
LENTE,LENTE AXION,4,UN,AXION,OCR,8,ATENDE,,
,,,,,,,,,
DEMANDA CONTRATO IMEPI PEDIDO VIA TICKET #99107497 HAVINER CAVALCANTE,,,,,,,,,
ITEM,DESCRIÇÃO,QTD,UND,MARCA,EQP.,QTD. ESTOQUE,STATUS ESTOQUE,OBSERVAÇÃO,
CPU,PC MODELO ANTIGO/MINI PC,2,UN,COMPUSONIC,OCR,4,ATENDE,,
CAMERA,ZN-NC-G3200WS-PF,4,UN,AXION,OCR,58,ATENDE,,
LENTE,LENTE AXION,4,UN,AXION,OCR,4,ATENDE,,
,,,,,,,,,
DEMANDA CONTRATO IMEPI PEDIDO VIA TICKET #99107497 HAVINER CAVALCANTE,,,,,,,,,
ITEM,DESCRIÇÃO,QTD,UND,MARCA,EQP.,QTD. ESTOQUE,STATUS ESTOQUE,OBSERVAÇÃO,
CPU,PC MODELO ANTIGO/MINI PC,6,UN,COMPUSONIC,OCR,2,SEM ESTOQUE,FALTA 4 UNIDADES,
BATERIA,ESTACIONÁRIA DF2000 115A,5,UN,FREEDOM,OCR,6,ATENDE,FALTA 4 UNIDADES,
,,,,,,,,,
DEMANDA CONTRATO DER/SE PEDIDO VIA TICKET #99319063 SAMUEL FRANCO,,,,,,,,,
ITEM,DESCRIÇÃO,QTD,UND,MARCA,EQP.,QTD. ESTOQUE,STATUS ESTOQUE,OBSERVAÇÃO,
REGULADOR DE TENSÃO,STEPDOWN DC/DC 1.5V A 35V 300W 20A ,7,UN,-,OCR,17,ATENDE,MODELO NOVO MELHOR,
CONTROLADOR SOLAR,CM3024Z PWM 30A LCD 12/24V,3,UN,-,OCR,6,ATENDE,,
CAMERA,ZN-NC-G3200WS-PF,2,UN,AXION,OCR,54,ATENDE,,
LENTE,LENTE AXION,2,UN,AXION,OCR,0,SEM ESTOQUE,FALTA 2 UNIDADES,
,,,,,,,,,
DEMANDA CONTRATO IPEM/CE PEDIDO VIA TICKET #99113791 ESTHER LUIZA,,,,,,,,,
ITEM,DESCRIÇÃO,QTD,UND,MARCA,EQP.,QTD. ESTOQUE,STATUS ESTOQUE,OBSERVAÇÃO,
CPU,PC MODELO ANTIGO/MINI PC,6,UN,COMPUSONIC,OCR,0,SEM ESTOQUE,FALTA 6 UNIDADES,
BATERIA,ESTACIONÁRIA DF2000 115A,5,UN,FREEDOM,OCR,1,SEM ESTOQUE,FALTA 4 UNIDADES,
,,,,,,,,,
,,,,,,,,,
