MemTotal:        1791012 kB
MemFree:          508260 kB
MemAvailable:     965052 kB
Buffers:          198348 kB
Cached:           345956 kB
SwapCached:            0 kB
Active:           755336 kB
Inactive:         293156 kB
Active(anon):     499576 kB
Inactive(anon):    65620 kB
Active(file):     255760 kB
Inactive(file):   227536 kB
Unevictable:           0 kB
Mlocked:               0 kB
HighTotal:        778240 kB
HighFree:           1256 kB
LowTotal:        1012772 kB
LowFree:          507004 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               496 kB
Writeback:             0 kB
AnonPages:        504052 kB
Mapped:           359196 kB
Shmem:             66856 kB
KReclaimable:      18804 kB
Slab:              41716 kB
SReclaimable:      18804 kB
SUnreclaim:        22912 kB
KernelStack:        2448 kB
PageTables:         5436 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      895504 kB
Committed_AS:    1479588 kB
VmallocTotal:     245760 kB
VmallocUsed:        2472 kB
VmallocChunk:          0 kB
Percpu:              480 kB
CmaTotal:         270336 kB
CmaFree:               0 kB
