MemTotal:        1791012 kB
MemFree:          394960 kB
MemAvailable:    1006160 kB
Buffers:          207796 kB
Cached:           491284 kB
SwapCached:            0 kB
Active:           830332 kB
Inactive:         317820 kB
Active(anon):     446432 kB
Inactive(anon):    66968 kB
Active(file):     383900 kB
Inactive(file):   250852 kB
Unevictable:           0 kB
Mlocked:               0 kB
HighTotal:        778240 kB
HighFree:           1096 kB
LowTotal:        1012772 kB
LowFree:          393864 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               244 kB
Writeback:             0 kB
AnonPages:        449020 kB
Mapped:           376364 kB
Shmem:             68236 kB
KReclaimable:      21756 kB
Slab:              44252 kB
SReclaimable:      21756 kB
SUnreclaim:        22496 kB
KernelStack:        2496 kB
PageTables:         6052 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      895504 kB
Committed_AS:    1489536 kB
VmallocTotal:     245760 kB
VmallocUsed:        2476 kB
VmallocChunk:          0 kB
Percpu:              480 kB
CmaTotal:         270336 kB
CmaFree:               0 kB
