Equipamento;d_gainMax;d_shutterMax;d_target;d_sharp;d_gamma;n_gainMax;n_shutterMax;n_flash1_out1;n_flash1_out3;n_flash2_out1;n_flash2_out3;n_shutter1;n_shutter2;n_gamma;n_irisAuto
GOEC6O002 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O002 - Faixa 2;1000;1500;35;40;130;4000;800;100;100;7;7;100;100;12;false
GOEC6O003 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O003 - Faixa 2;1000;1500;35;40;130;4999;897;100;100;100;100;100;100;12;false
GOEC6O004 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O004 - Faixa 2;1000;1500;35;40;130;4000;800;100;100;7;7;100;100;12;false
GOEC6O006 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O006 - Faixa 2;1594;1500;35;40;130;4000;800;100;100;45;42;100;100;21;false
GOEC6O007 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O007 - Faixa 2;1000;1500;35;40;130;4000;800;100;100;7;7;100;100;12;false
GOEC6O008 - Faixa 1;1400;1450;45;20;130;2400;2000;100;undefined;5;undefined;100;100;120;false
GOEC6O008 - Faixa 2;1000;1500;35;40;130;4000;800;100;100;7;7;100;100;12;false
GOEC6O009 - Faixa 1;1500;1200;40;40;130;4000;2155;100;100;7;7;50;100;110;false
GOEC6O009 - Faixa 2;1000;1200;40;40;130;4000;800;70;70;25;25;100;50;12;false
GOEC6O010 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O010 - Faixa 2;1000;1500;35;40;130;4000;800;100;100;7;7;100;100;12;false
GOEC6O011 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O011 - Faixa 2;1400;1200;40;25;130;1400;1400;100;100;5;5;100;100;120;false
GOEC6O013 - Faixa 1;1500;500;38;30;130;4000;800;100;100;63;65;50;50;12;false
GOEC6O013 - Faixa 2;1000;1500;35;40;130;4000;800;82;82;75;75;45;21044;12;false
GOEC6O018 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O018 - Faixa 2;1000;1500;35;40;130;4000;3398;100;100;7;7;100;100;12;false
GOEC6O020 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O020 - Faixa 2;1000;1500;35;40;130;4000;800;100;100;7;7;100;100;12;false
GOEC6O021 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O022 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O022 - Faixa 2;1000;1500;35;40;130;4000;800;100;100;7;7;100;100;12;false
GOEC6O028 - Faixa 1;1400;1200;40;25;130;1400;1400;100;100;5;5;100;100;120;false
GOEC6O029 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O029 - Faixa 2;1000;1500;35;40;130;4000;800;100;100;7;7;100;100;12;false
GOEC6O033 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O033 - Faixa 2;1000;1500;35;40;130;4000;2000;100;100;7;7;100;100;12;false
GOEC6O036 - Faixa 1;1800;1200;40;20;130;2400;1800;65;65;5;5;50;50;12;false
GOEC6O040 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O040 - Faixa 2;1000;1500;35;40;130;4000;800;100;100;7;7;100;100;12;false
GOEC6O041 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O041 - Faixa 2;1000;1500;35;40;130;4000;800;100;100;7;7;100;100;12;false
GOEC6O043 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O043 - Faixa 2;1000;1500;35;40;130;4000;800;100;100;7;7;100;100;12;false
GOEC6O045 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O045 - Faixa 2;1000;1500;35;40;130;4000;800;100;100;7;7;100;100;12;false
GOEC6O046 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O046 - Faixa 2;1000;1500;35;40;130;4000;800;100;100;7;7;100;100;12;false
GOEC6O048 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O048 - Faixa 2;1000;1500;35;40;130;4000;800;100;100;7;7;100;100;12;false
GOEC6O050 - Faixa 1;1500;500;38;30;130;4000;800;65;65;20;20;50;50;12;false
GOEC6O050 - Faixa 2;1000;1500;35;40;130;4000;800;100;100;100;100;100;100;12;false
