Equipamento;ocr_threads;ocr_queue;ocr_mode;ocr_timeout;ocr_vehicle;ocr_plates;cl_queue;cl_threads;cl_scene;cl_prob;vid_framerate;vid_quality;vid_trigger;snmp;reboot;ntp;gateway;io_out1_early;io_out1_reserved;ftp_user
GOEC6O002 - Faixa 1;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O002 - Faixa 2;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O003 - Faixa 1;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O003 - Faixa 2;4;4;3;1000;3;2;4;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O004 - Faixa 1;4;4;3;1000;3;2;4;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O004 - Faixa 2;4;4;3;1000;3;2;4;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O006 - Faixa 1;4;4;3;1000;3;2;4;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O006 - Faixa 2;4;4;3;1000;3;2;4;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O007 - Faixa 1;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O007 - Faixa 2;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O008 - Faixa 1;2;2;3;1000;3;2;1;1;0;20;1;60;false;false;false;time.google.com;192.168.0.1;0;true;
GOEC6O008 - Faixa 2;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O009 - Faixa 1;4;4;3;1000;1;2;4;1;1;60;12;85;true;true;true;time.google.com;192.168.0.1;7;true;
GOEC6O009 - Faixa 2;4;4;3;1000;1;1;4;1;0;50;12;85;true;true;true;time.google.com;192.168.0.1;7;true;
GOEC6O010 - Faixa 1;2;4;3;1000;3;2;4;4;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O010 - Faixa 2;4;4;3;1000;3;2;1;2;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O011 - Faixa 1;4;4;3;1000;3;2;4;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O011 - Faixa 2;2;2;2;700;3;2;2;2;1;20;1;85;true;false;false;200.160.0.8;192.168.0.1;7;true;
GOEC6O013 - Faixa 1;4;4;3;1000;3;2;4;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O013 - Faixa 2;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O018 - Faixa 1;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O018 - Faixa 2;4;4;3;1000;3;2;4;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O020 - Faixa 1;4;4;3;1000;3;2;4;1;0;20;12;85;false;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O020 - Faixa 2;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O021 - Faixa 1;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O022 - Faixa 1;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O022 - Faixa 2;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O028 - Faixa 1;2;2;2;700;3;2;2;2;1;20;1;10;false;false;false;200.160.0.8;192.168.0.1;7;true;
GOEC6O029 - Faixa 1;4;4;3;1000;3;2;4;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O029 - Faixa 2;4;4;3;1000;3;2;4;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O033 - Faixa 1;4;4;3;1000;3;2;4;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O033 - Faixa 2;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;false;
GOEC6O036 - Faixa 1;4;4;3;1000;3;2;1;1;0;20;12;85;false;false;false;time.google.com;192.168.0.1;7;true;admin
GOEC6O040 - Faixa 1;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O040 - Faixa 2;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O041 - Faixa 1;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O041 - Faixa 2;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O043 - Faixa 1;4;4;3;1000;3;2;4;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O043 - Faixa 2;4;4;3;1000;3;2;4;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O045 - Faixa 1;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O045 - Faixa 2;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.0.1;7;true;
GOEC6O046 - Faixa 1;4;4;3;1000;3;2;4;1;0;20;12;85;true;false;false;time.google.com;192.168.1.1;7;true;
GOEC6O046 - Faixa 2;4;4;3;1000;3;2;1;1;0;20;12;85;true;false;false;time.google.com;192.168.1.1;7;true;
