Equipamento;d_lower_start;d_lower_end;d_lower_level;d_lower_hold;d_upper_start;d_upper_end;d_upper_level;d_upper_hold;d_upper_profile;n_lower_start;n_lower_end;n_lower_level;n_lower_hold;n_upper_start;n_upper_end;n_upper_level;n_upper_hold;n_upper_profile;STATUS
GOEC6O002 - Faixa 1;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;OK
GOEC6O002 - Faixa 2;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;OK
GOEC6O003 - Faixa 1;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;OK
GOEC6O003 - Faixa 2;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;OK
GOEC6O004 - Faixa 1;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;OK
GOEC6O004 - Faixa 2;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;OK
GOEC6O006 - Faixa 1;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;OK
GOEC6O006 - Faixa 2;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;OK
GOEC6O007 - Faixa 1;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;OK
GOEC6O007 - Faixa 2;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;OK
GOEC6O008 - Faixa 1;00:00:00;18:00:00;10;60000;06:00:00;00:00:00;30;60000;0;00:00:00;06:00:00;10;60000;18:01:00;00:00:00;30;60000;23483;TRAVADO
GOEC6O008 - Faixa 2;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;35;60000;0;OK
GOEC6O009 - Faixa 1;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;40;60000;0;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;40;60000;0;OK
GOEC6O009 - Faixa 2;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;40;60000;0;00:00:00;00:00:00;10;60000;00:00:00;00:00:00;40;60000;0;OK
